pos_name,brand_line,proof,category,region,sub_region,whiskey_type_id,all_upcs
Four Seasons Blended Whiskey,Four Seasons,80.0,American,Other,Other,0cac00fc-a7ab-4c0a-894a-c40bdd25fdc7,19051038207
Montana Gold Canadian Whisky,Montana Gold,80.0,Canadian,Canada,Other,5a1db11f-dd3a-49ec-8c6e-485ba71f8dd1,19051120162|19051150176
Montana Gold Blended Whiskey,Montana Gold,80.0,American,Other,Other,0cac00fc-a7ab-4c0a-894a-c40bdd25fdc7,19051120926|19051150930
Steeple Ridge Bourbon Whiskey Single Barrel Cask Proof,Steeple Ridge,102.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,19962231414
Steeple Ridge Bourbon Whiskey,Steeple Ridge,92.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,19962231612|787790992936
Climax Whiskey Wood-Fired,Climax,90.0,American,Other,Other,0cac00fc-a7ab-4c0a-894a-c40bdd25fdc7,19962288142|856599007025
Boulder Spirits Straight Bourbon Whiskey Bottled In Bond,Boulder Spirits,100.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,19962319730
Boulder Spirits American Single Malt Whiskey New American,Boulder Spirits,92.0,American,Other,Other,9349cb96-a41d-42f2-b98e-e2d11aa346a8,19962320033
Boulder Spirits American Single Malt Whiskey American Oak,Boulder Spirits,92.0,American,Other,Other,9349cb96-a41d-42f2-b98e-e2d11aa346a8,19962320330
Boulder Spirits American Single Malt Whiskey Peated Malt,Boulder Spirits,92.0,American,Other,Other,9349cb96-a41d-42f2-b98e-e2d11aa346a8,19962320439
Hillrock Estate Distillery Double Cask Rye Whiskey,Hillrock Estate Distillery,90.0,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,19962341502|696859103063|793888610330
Hillrock Estate Distillery Solera Aged Bourbon Whiskey,Hillrock Estate Distillery,92.6,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,19962341601|19962446702|797734002942
